,state_abrv,2005_copper_mg/L_x_population_served,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,fips
22,MN,4.685650586776861,5.72136500390625,4.007817769605193,4.219150746122449,3.8865306122448975,4.267604760330578,4.211388027777777,4.299524221453288,3.364261421597633,3.4487719640831758,3.5097183921028465,3.6817934400000003,3.3506712018730482,2.9314331632653055,3.8374011479591843,3.1192117585848074,27
24,MS,2.7370393600000003,3.4365070294214877,8.9824885264,5.008084515625002,4.69122126051653,4.387409005918367,4.501929150625,4.4566640441015615,5.8321847500694455,3.76161176265625,4.04543739801653,4.215493361111112,4.209595992900001,6.924476473600002,4.203761633136094,6.0901355524000005,28
23,MO,10.12639684,3.8415999999999997,4.9695555625,199.54387600000004,4.6656,2.8392250000000003,6.305121000000001,5.721664,2.619002777777778,15.246096390624999,2.3290829511111113,5.648544444444443,5.2212250000000004,2.022084,7.051264706445421,2.1141159999999997,29
25,MT,5.006578366863905,4.083965484429064,3.9722301838842977,4.952532326530613,3.0265765570934255,3.855867768595042,3.3692641975308644,2.912711111111111,3.4554679012345684,4.114136111111111,2.4180250000000005,2.8392250000000003,3.305124,9.589344444444448,2.946944444444444,2.6569000000000003,30
28,NE,3.2591568820745067,3.968562015625,3.04901487755102,3.5488464967560556,4.2436,2.8224000000000005,3.108998702422146,4.2746389504,2.455006869822485,2.78218230015625,3.7958339241,3.7201922884000007,3.0859585445897744,4.840314290816326,4.37986416015625,3.3236507136678197,31
32,NV,4.17326530612245,2.5600000000000005,2.361344444444444,2.4531390624999996,26.522500000000004,6.937956,515.29,5.640625,5.0625,4.41,11.111111111111112,8.151025000000002,14.938225000000001,5.405624999999999,5.76,3.6100000000000003,32
29,NH,58.80384812314469,8.109032859504133,4.5129691406250005,4.397409,16.58816530612245,4.9506250000000005,9.502422760000002,3.2821361111111114,2.0448999999999997,5.222139040000001,7.200277777777779,3.6576562500000005,5.811313777777778,6.125625,5.405625000000001,36.8449,33
30,NJ,12.789229512268472,29.477890780247936,12.795201983034971,14.446662643361817,120.08666754003902,9.6777610281,6.321756510107017,3.75390625,4.783698027777778,9.148425132231406,4.819713609467456,8.333857340720222,9.723057851239666,6.171912111111111,9.483083366863907,5.996265256198346,34
31,NM,6.6353076446281,4.4521,7.263024999999999,8.868351135882248,129.0129476695111,9.517382335650252,3.3899307958477514,2.5599999999999996,3.0044444444444447,2.1025,4.27111111111111,7.722223456790124,6.525702479338844,6.587777777777776,3.484444444444444,7.380277777777779,35
33,NY,6.461024530247934,7.425625,411.1707988754686,36.692296673611104,4.405217963734567,4.367537325813609,4.604874187067474,312.59056005325453,9825.079015044019,10.734486566454295,4.7568648577097505,796.9661972708744,4267.338946292893,3.7295580936577637,28.951021917159764,4.636655557479225,36
26,NC,56.689354587777785,7.186797321491963,7.57477937076145,6.568174854989089,7.9874981008035055,5.68707138407788,5.551442822499999,5.296257849599999,5.395621061315194,3.841298467455621,4.923355836776859,6.858178910156251,3.762056976368802,3.3221137777777776,6.0086265625,4.041440111111112,37
27,ND,4.18407025,5.283102249999999,4.804316015625,4.335703820069206,4.113521487603305,4.017430712802768,4.341269897959184,4.768691271111112,4.173265306122448,2.692881,2.780889759999999,3.584711111111111,5.1574409999999995,1.841449,2.9583999999999997,6.039797760000001,38
34,OH,44554.17491405099,5.694731404958677,31766.43194596,3.2085765625000002,2854.6094693884293,21.649861591695498,5.209806250000001,3.8286748900000003,3.4872894693877545,3.657383040816327,20.691746851239667,5.8866890625,4.170444694444445,2.74659593877551,7.503490562499999,15.490521640000003,39
35,OK,20.90105045444444,4.633843314049586,2.80361536,3.585763040123457,3.8734613456790123,4.774225,7.492661983471074,3.7149161107266426,4.876525795918367,5.8280397511111115,3.349661865547873,11.217940740933644,3.7080939405190314,7.284560515056251,8.280332369877778,21.622500000000002,40
36,OR,2.904417937716263,7.971940850294431,3.6608444444444443,4.538586406684028,8.077776020408162,7.856808999999999,6.256668444444443,4.389025000000001,4.946860331360948,3.1650657197783936,3.9271915102040817,3.2760999999999996,4.564327040816327,5.096306250000001,4.771104081632653,4.480277777777778,41
37,PA,5.680717266183795,5.282155851211072,7.7561840441717145,8.963859883217994,8.0675881225,5.638589469387755,6.2856506944,8.614224999999998,5.276128403816558,6.371777961451246,3.731796045918368,6.8667168270360115,7.712233917355372,9.76937536,5.216454472534601,4.898337235351562,42
38,RI,4.31849961,13.870304081632652,6.2332612224999995,22.324925005486968,10.352306250000002,7.667360999999998,7.692050115702478,3.9072111111111107,5.90328011111111,2.92239025,9.641024999999999,3.4969000000000006,3.7733062499999996,11.539042840277776,3.055504,4.963092839999999,44
39,SC,6.879523705621301,6.917997782684309,7.943574623818525,12.754638219893803,13.030381009070291,5.155570934256055,4.433364197530865,7.601048999999998,8.16423472265625,8.428092072664361,9.68624152892562,7.093990115702481,9.957969140625,10.926550617777778,7.815752111111113,10.1809794083045,45
40,SD,2.1025,1.9599999999999997,2.8899999999999997,5.76,4.0,7.125129162413234,67.1974583165418,2.25,54.89633080296182,5.472058624893234,881.4551203238751,4.840000000000001,4.0,3.24,2.25,6.763335076355776,46
41,TN,3.61,7.971940850294431,1083.594724,71506.90709190568,2.8730249999999993,123.765625,2.5600000000000005,52.74140624577999,3.24,3.857296,2.8899999999999997,2.4927146944444436,23.96880737665074,8.776406249999999,2.25,6.760000000000001,47
42,TX,7.901720999999999,4.520348456790124,3.07125625,3.2761,2.6114560000000004,4.6296694444444455,4.393216000000001,4.706296360000002,3.6997686200378075,4.257818787158145,5.764360825069444,5.899396589025406,5.216818995818646,25.829703189357904,5.793335047731567,8.45684505256837,48
43,UT,94.49228622448979,2.4346401111111113,2.4964000000000004,12.925332305785123,5.9049000000000005,3.093597880193778,303.35451897270036,2.37316859528464,8127.47325625,3.0842659538613617,15.380515239999998,2.8223999999999996,5.2486232669587585,342.93005523445555,2.9246700277777777,2.952669444444445,49
45,VT,5.071503999999999,8.28000625,5.7840250000000015,3.9564826446280987,3.9303062499999997,4.7578515625,4.314852160493827,7.952400000000002,3.8455209999999993,11.484124913494808,4.831753515625,5.7660015625000005,8.17440082644628,13.322500000000003,15.681599999999996,10.239999999999998,50
44,VA,11.953774332840238,3.8191355463138,7.54093846745562,7.197722448979592,26461.13506883379,6.464911621315192,40.56325114795917,1122.3277213456,8.679822485207099,4.3264000000000005,5.30892801234568,9.975727441406251,17.022959123456786,7.633164305785123,5.282925443786983,8.06812464197531,51
46,WA,6.498857653061223,3.8891126736111112,3.8390982797646,4.760225571799308,4.420194774005487,4.5974506944444435,2.6024859382716055,3.234987654336735,4.506357033057852,3.0504369024999995,4.44125518367347,3.9330326601562504,3.9767611239669427,12.261669444444447,4.953963062500001,6.057136265625,53
48,WV,233.58187889163264,2.5281000000000002,2.2052250000000004,244.79210069444446,4.2848999999999995,27.667599999999997,11.441306250000002,33977.548899999994,973.9392640000001,5.354596,34225.0,9.18791913050573,6.0516,2.0448999999999997,375.9720999999999,7.654444444444446,54
47,WI,4.34931025,3.0882893598615917,8.614225000000001,5.153921550624999,6.30609753780864,6.71632958131488,2.87607681,4.368099999999999,17.597295442344045,4.459488062499999,4.816869806094182,8.98687978515625,7.9222990644044335,6.2806107224817795,8.835885489603024,6.534969780836485,55
49,WY,2.8561000000000005,3.61,2.3409,3.3245444444444443,4.0300562499999995,3.0741777777777775,7.004844444444443,4.212756250000001,54.89633080296182,3.3782439999999996,4.340277777777779,3.5129469387755106,2.7556000000000003,3.75390625,4.120899999999999,3.709475999999999,56
