,state_abrv,2006_lead_mg/L_x_population_served,2007_lead_mg/L_x_population_served,2008_lead_mg/L_x_population_served,2009_lead_mg/L_x_population_served,2010_lead_mg/L_x_population_served,2011_lead_mg/L_x_population_served,2012_lead_mg/L_x_population_served,2013_lead_mg/L_x_population_served,2014_lead_mg/L_x_population_served,2015_lead_mg/L_x_population_served,2016_lead_mg/L_x_population_served,2017_lead_mg/L_x_population_served,2018_lead_mg/L_x_population_served,2019_lead_mg/L_x_population_served,2020_lead_mg/L_x_population_served,State
20,ME,0.43134825389695086,0.3332673541257425,-0.80859375,0.5376477156178927,-0.15057107313118523,-0.720617825816436,0.6598371062883612,-0.38339352517716996,-0.4331397485078944,-0.12817823600259148,-0.15863338125286353,-0.06525111341561995,0.17080219151119858,-0.8322812390224019,0.21791032215647643,Maine
21,MI,-0.5852386886876366,0.4865618753838692,0.34797509039288377,-0.42354451982939234,-0.5522188826416213,0.44468877789644057,-0.18683426454033425,0.3076000698433585,0.18900758942860918,0.3662132402888538,0.810458744543201,-0.5628045350562798,0.03657731535086728,4.99991628182035,-0.544465766430116,Michigan
22,MN,0.10906436404093478,0.21257189813012722,-0.37898747637051067,-0.19475490607765744,0.9482509363350975,-0.5669510926118626,-0.2654324833512789,0.2509739393063224,0.136615042798498,-0.2645023106987773,-0.09904775387025189,0.31980514588600273,-0.0645832037533195,-0.24489892984542194,-0.16203544281195814,Minnesota
23,MO,-0.2173940370814944,-0.3212507470142303,0.20007611463768882,0.33553501813328057,-0.3132299928182094,-0.06737051286275131,0.1363467499636486,0.06051063641371068,-0.3128106143465422,0.2222840313197414,-0.24923240124210377,0.12825740961436427,0.13628343444265334,-0.25459933412881597,6.332803832880289,Missouri
24,MS,-0.20510892694480642,-0.3468918101727607,0.7077498820385757,0.6270519914650512,-0.24098943985307641,-0.2711025012107673,-0.012978447808159377,0.14496291751628498,-0.3076771924419741,0.05098047146796003,-0.04159016980263719,0.13788811576862403,-0.10727339612188336,-0.17325998038614976,0.19381038751293533,Mississippi
25,MT,0.12997356008021788,0.05898458626284464,-0.3451937925414348,-0.6682212423641083,0.03669421487603319,1.18457357667585,-0.2368212449810051,0.41458125848800376,-0.5179442806922662,0.7950883633649279,-0.56769375,-0.11165896717237522,-0.23473433682060663,-0.1102331550162493,0.4938271604938276,Montana
26,NC,3.5469801591851935,-0.7710756504932934,-0.8496315897867088,7.558212750978704,-0.5660466163724589,-0.7078887672466025,15.820933605994885,0.04450081430256492,-0.9737594385460574,3.2892526694349247,-0.8592129404205527,0.07415457163265282,-0.20704039011069242,4.82529036045722,-0.327419271604095,North Carolina
27,ND,4.6860573843503,-0.24676056808345592,-0.6306665675484041,0.33765990981521155,0.743073269130696,0.2755820804518434,-0.5082827634786475,0.46787625953009204,0.12043463572279811,-0.16698160745779778,0.08657963137996227,0.8875305946229055,-0.5503424461345323,0.47000186101446695,-0.4232546226668238,North Dakota
28,NE,0.6222272536359397,-0.710955893227014,5.07782398754731,-0.8880440632506835,2.0932186709866922,-0.14718957379748376,-0.279593022156414,0.28566337148803367,0.4982372296440847,0.009751647596704105,-0.34024793742258863,0.5492392192139157,-0.556237411957731,2.687965158011809,-0.6230845202902445,Nebraska
29,NH,-0.13441097393689982,0.7709094875728706,-0.29841478559427315,-0.7256235827664399,2.1965105601469235,-0.6827681632666938,-0.3984939953512395,-0.5122197026958932,10.390625,-0.8086901884667904,-0.6684469302809573,2.6844980781949404,-0.33858306805657346,-0.5227659922051855,1.9834710743801653,New Hampshire
30,NJ,-0.3995439754631721,0.2256952315064329,0.4246017022819084,0.3867588781329545,-0.4485595475312011,-0.397662966912793,0.5273499923674574,2.2715036889651956,-0.8610931301773783,-0.05419197087619643,0.7927852363264032,0.6601400498849679,1.2353493163760714,-0.7005746527369405,-0.3706079150981053,New Jersey
31,NM,3.558541067401456,-0.6440949906361059,-0.5222253179148728,3.1252355337829805,-0.6074802426037618,-0.11375202333009893,0.042004978229972956,-0.11230614441809894,-0.3718068994529441,0.058877989643179696,0.060945889520126695,-0.5363085367149067,0.37275454515194784,-0.7127228219165043,0.5732944411414984,New Mexico
32,NV,4.630565929330651,-0.6597222222222221,-0.6240019321338003,1.6595881347875796,1.9387755102040813,-0.8612596683468479,-0.19914339408610848,1.677685950413223,-0.3554603879799316,-0.7261352403096459,0.3702171998275894,0.16579902193884388,-0.5292848308344404,-0.1874542240343935,0.3210407608529102,Nevada
33,NY,-0.24312581977176162,0.8815193518092099,-0.5163045963288156,0.04949548309804386,-0.23527625179936384,-0.3278991402407213,0.12656903885334403,0.7692342433240731,-0.20920598741450447,-0.18158017694625506,0.35916317310449664,-0.27626528510674664,-0.1049128775626369,0.12605839765335136,-0.012954835703485434,New York
34,OH,-0.9999989919291574,1.3151160935697037,0.6276610319208966,-0.6462792253416356,1.7380575840713637,-0.03326623368693893,-0.4895909098500466,0.8040710145986636,-0.587038171776174,-0.5166796058534173,1.4162112831712355,-0.6367892097748462,0.7906139971212454,0.08816181734432682,0.4719181895786364,Ohio
35,OK,-0.7568941650844913,1.2442565840530055,0.4967845652387737,-0.5088904701100166,0.2787748736178268,-0.013213187367994261,1.263024840933228,-0.5962512791757941,-0.8522914857039005,1.763906249999999,1.6680097302985364,-0.6639018867541355,-0.3773433958043514,6.900463778608569,-0.8737965789245801,Oklahoma
