,state_abrv,2006_copper_mg/L_x_population_served,2007_copper_mg/L_x_population_served,2008_copper_mg/L_x_population_served,2009_copper_mg/L_x_population_served,2010_copper_mg/L_x_population_served,2011_copper_mg/L_x_population_served,2012_copper_mg/L_x_population_served,2013_copper_mg/L_x_population_served,2014_copper_mg/L_x_population_served,2015_copper_mg/L_x_population_served,2016_copper_mg/L_x_population_served,2017_copper_mg/L_x_population_served,2018_copper_mg/L_x_population_served,2019_copper_mg/L_x_population_served,2020_copper_mg/L_x_population_served,State
26,NC,-0.8732249224964463,0.053985389028466946,-0.13288895511040777,0.21609096547366113,-0.2880034132958621,-0.023848577311267882,-0.04596732436218842,0.018761022317427267,-0.28807111844891187,0.28169052170475206,0.3929886722642517,-0.45144957201428704,-0.11694219448416343,0.8086757301007552,-0.32739369486966485,North Carolina
27,ND,0.2626705419202744,-0.09062596401101242,-0.09753983585420567,-0.05124481322673802,-0.02335973571309169,0.08060853025402626,0.09845537900162737,-0.12486150416064334,-0.3547304562570296,0.032682008599711265,0.28905185767274433,0.43873267332870447,-0.6429529683422457,0.6065609202318392,1.0415757706868582,North Dakota
28,NE,0.21766523037054464,-0.23170789178890094,0.16393216802093868,0.19576882344136526,-0.33490432651522284,0.10154432483777831,0.37492464923505175,-0.4256808824537667,0.13326864146715067,0.3643368818379813,-0.01992754088100268,-0.17048412948648972,0.5684962130493438,-0.09512814726384655,-0.24115210149594002,Nebraska
29,NH,-0.8621003026447773,-0.44346394708024794,-0.02560623328547662,2.772258915675674,-0.701556808203931,0.9194390122459286,-0.654600074738086,-0.3769606345460994,1.553738099662576,0.3787985579521793,-0.49201178581073257,0.5888080728684599,0.05408608694029482,-0.11753902662993565,5.816029598797549,New Hampshire
30,NJ,1.3048996620140674,-0.5659390260171338,0.12906874487143694,7.312415850259946,-0.9194101957665428,-0.34677489020948227,-0.40619252829520125,0.27432538513122906,0.9124169375049833,-0.4731646660705773,0.729118785055997,0.16669357942229768,-0.365229313088556,0.5364903446683551,-0.3676882271065245,New Jersey
31,NM,-0.32902885013863836,0.6313705891601715,0.22102720779320584,13.547568729829791,-0.926229246695218,-0.6438168945730242,-0.24482234176116957,0.17361111111111138,-0.30020340236686394,1.0314440480908966,0.8080127760434737,-0.15494513777624275,0.009512431594218329,-0.47107438016528924,1.1180644132653068,New Mexico
32,NV,-0.38657147048755436,-0.07759982638888929,0.03887387893431726,9.811657767566942,-0.7384124422660006,73.27115421314289,-0.9890534941489258,-0.10249307479224379,-0.12888888888888883,1.5195263290501386,-0.26640774999999983,0.8326805524458576,-0.6381347181475712,0.0655567117585849,-0.37326388888888884,Nevada
33,NY,0.1492952805296115,54.37187763662568,-0.9107614237831025,-0.8799416127335857,-0.008553637579606588,0.05434111801429253,66.88254083708676,30.431144348601467,-0.9989074401793596,-0.5568614457467258,166.54022262776314,4.354479224973328,-0.9991260225305286,6.762587735633326,-0.8398448396486136,New York
34,OH,-0.9998721841125788,5577.214262800777,-0.9998989947448943,888.680957827675,-0.9924158236620949,-0.7593607595164308,-0.2651022502036424,-0.0891654241794988,0.048775294658414126,4.65752797022356,-0.7155054570877218,-0.2915466317031341,-0.3414141320626263,1.731923708386903,1.0644420767871132,Ohio
35,OK,-0.7782961519494234,-0.3949697540485292,0.2789782404828376,0.08023349628414089,0.23254747470910564,0.5693985900268785,-0.5041927529999614,0.31268799902039013,0.19512127998772377,-0.42525068314620496,2.3489770583452096,-0.6694496765356941,0.9645026884180319,0.13669621561429746,1.6113082221987138,Oklahoma
36,OR,1.7447636742536958,-0.5407837924049277,0.23976488910136862,0.7797999854121822,-0.027354932824319333,-0.20366290634729134,-0.2985044614443012,0.12709777942958778,-0.3601869655156321,0.2407930380918124,-0.1657906186933693,0.3932196943977069,0.11655151009699138,-0.06381134735914828,-0.06095576597762142,Oregon
37,PA,-0.07016040339576157,0.4683747058302734,0.1557048971721826,-0.09998725687312238,-0.3010811429921564,0.11475586731844545,0.3704587510207282,-0.38750979875536573,0.2076616552474606,-0.41432421711876355,0.8400568365858168,0.12313265736987211,0.26673742844019555,-0.4660401222893946,-0.06098342060837936,Pennsylvania
38,RI,2.2118340475275975,-0.5506038522432817,2.581580204741206,-0.5362893157555675,-0.2593572084481178,0.0032200278169347563,-0.49204554672167733,0.5108679677746844,-0.5049548395137987,2.299020382373641,-0.6372896035431916,0.07904322399839825,2.058072172190576,-0.7352029936716618,0.6243123360335967,Rhode Island
39,SC,0.005592549529493063,0.1482476394689265,0.6056547365526692,0.02161902081600431,-0.604342272826303,-0.1400827853859029,0.7145103946644753,0.07409315775444303,0.03231868741792665,0.14928045937489642,-0.2676220085450075,0.40371906053028295,0.09726696914547639,-0.2847008736320972,0.3026231210469057,South Carolina
40,SD,-0.06777645659928666,0.4744897959183674,0.9930795847750866,-0.3055555555555556,0.7812822906033086,8.431051253221417,-0.9665165907109001,23.398369245760808,-0.9003201389809827,160.08290878208078,-0.9945090794886736,-0.17355371900826455,-0.18999999999999995,-0.3055555555555556,2.0059267006025667,South Dakota
41,TN,1.208293864347488,134.92608680230978,64.99045335690069,-0.9999598217134982,42.07850610419332,-0.9793157429617473,19.602111814757805,-0.9385681909029636,0.19052345679012328,-0.2507704879272942,-0.13746896386005403,8.615543820586623,-0.6338405114578395,-0.7436308283928857,2.0044444444444447,Tennessee
42,TX,-0.427928617475848,-0.32057090745148376,0.06669705596854714,-0.20287659106864853,0.7728307290815717,-0.0510735047678591,0.07126450418099206,-0.21386832935488875,0.15083380190262674,0.35382953413966933,0.02342597350406761,-0.11570295078594184,3.9512362246151866,-0.7757103515568665,0.4597541800866023,Texas
43,UT,-0.9742345094145883,0.025367153283572197,4.177588649970005,-0.5431529449067174,-0.4760964825494458,97.05880748589689,-0.9921769136542904,3423.734876569182,-0.9996205135524144,3.9867668580085605,-0.8164950942176629,0.8596312595517146,64.33714419803682,-0.991471526093628,0.009573530142113817,Utah
44,VA,-0.6805079768135152,0.9745144879013459,-0.04551370097465224,3675.320566179256,-0.9997556827549349,5.274370559718057,26.668583991253048,-0.9922662317608973,-0.501556626604585,0.227100594569545,0.8790474118707454,0.7064378736732111,-0.5515959211071003,-0.30789837187402225,0.527207742722146,Virginia
45,VT,0.6326530058933211,-0.30144678332821284,-0.3159637718322279,-0.006616077202724502,0.21055491858935937,-0.09310912629090096,0.8430295417328653,-0.5164326492631157,1.9863638538171577,-0.5792667223649505,0.19335589943771225,0.41768966550575404,0.629783060906226,0.1770763745543249,-0.34700540761146814,Vermont
46,WA,-0.4015698017667485,-0.012860104101862446,0.2399332408054915,-0.07143165647616423,0.040101382292330845,-0.43392847226911035,0.24303751530937912,0.39300594455646665,-0.3230813980955072,0.45594068181958436,-0.1144321824572252,0.011118255958991963,2.083330645772621,-0.5959797248698009,0.22268498759623112,Washington
47,WI,-0.2899358329607341,1.7893192626179517,-0.4016964322820685,0.22355326441550516,0.06505323475361191,-0.5717784877619213,0.518770286249761,3.0285926243318713,-0.7465810540539533,0.0801396345467138,0.8657095057429778,-0.11845943711300089,-0.20722372742767314,0.4068513206804081,-0.2604057863214697,Wisconsin
48,WV,-0.9891768145200472,-0.1277144891420433,110.00549862007024,-0.9824957586954634,5.4570001633643725,-0.5864727605574751,2968.7263719341477,-0.971335799799261,-0.9945021253399227,6390.705368621648,-0.9997315436338786,-0.34135249624613295,-0.662089364796087,182.85842828500168,-0.9796409243014457,West Virginia
49,WY,0.26396134589125,-0.3515512465373961,0.4201992585947474,0.212213076812529,-0.23718737727847394,1.2786074686637074,-0.3985938897842126,12.030977237992778,-0.9384613880274538,0.2847733253660123,-0.19061702530612257,-0.21558735499702564,0.3622827151981418,0.09776316337148772,-0.09983838481885021,Wyoming
